label,model,setting,turn_index,acc,slice
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,3,86.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,4,83.11,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,5,85.81,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,6,88.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,7,89.86,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,1,87.16,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,2,93.24,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,3,94.59,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,4,96.62,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,5,95.95,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,6,97.3,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,7,97.3,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,1,89.86,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,2,84.46,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,3,72.97,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,4,69.59,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,5,69.59,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,6,68.92,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,7,75.0,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,1,95.27,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,2,95.95,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,3,95.95,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,4,97.97,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,5,96.62,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,6,95.95,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,7,98.65,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,1,95.95,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,2,93.92,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,3,87.84,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,4,87.84,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,5,84.46,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,6,87.84,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,7,85.14,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,1,98.65,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,2,99.32,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,3,99.32,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,4,99.32,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,5,100.0,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,6,98.65,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,7,98.65,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,1,53.38,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,2,54.73,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,3,46.62,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,4,43.24,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,5,54.05,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,6,39.19,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,7,43.24,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,1,73.65,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,2,75.68,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,3,79.73,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,4,80.41,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,5,85.81,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,6,87.16,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,7,88.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,1,59.46,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,2,58.78,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,3,66.22,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,4,62.16,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,5,64.86,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,6,60.14,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,7,61.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,1,74.32,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,2,79.73,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,3,85.14,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,4,86.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,5,89.86,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,6,89.19,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,7,89.19,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,1,48.65,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,2,48.65,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,3,46.62,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,4,41.22,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,5,45.27,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,6,48.65,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,7,47.97,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,1,61.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,2,65.54,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,3,65.54,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,4,68.92,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,5,74.32,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,6,68.92,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,7,71.62,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,1,68.92,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,2,53.38,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,3,41.22,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,4,43.24,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,5,42.57,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,6,37.84,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,7,39.86,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,1,81.08,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,2,81.08,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,3,85.14,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,4,88.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,5,88.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,6,87.16,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,7,85.81,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,1,70.27,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,2,67.57,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,3,59.46,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,4,51.35,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,5,59.46,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,6,48.65,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,7,56.08,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,1,82.43,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,2,86.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,3,86.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,4,88.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,5,89.19,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,6,89.86,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,7,90.54,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,1,35.14,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,2,13.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,3,14.19,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,4,13.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,5,15.54,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,6,11.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,7,11.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,1,70.95,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,2,80.41,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,3,86.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,4,90.54,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,5,91.22,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,6,87.16,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,7,86.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,1,61.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,2,59.46,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,3,68.24,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,4,64.86,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,5,70.27,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,6,68.92,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,7,62.16,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,1,83.11,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,2,88.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,3,87.84,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,4,95.95,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,5,93.24,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,6,97.3,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,7,93.92,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,1,55.41,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,2,56.76,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,3,46.62,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,4,52.7,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,5,47.3,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,6,42.57,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,7,41.89,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,1,80.41,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,2,89.19,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,3,86.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,4,93.92,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,5,93.24,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,6,92.57,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,7,92.57,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,1,87.16,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,2,86.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,3,70.95,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,4,65.54,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,5,64.19,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,6,63.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,7,63.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,1,91.89,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,2,93.92,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,3,95.27,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,4,97.3,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,5,95.27,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,6,95.95,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,7,96.62,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,1,86.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,2,73.65,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,3,58.11,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,4,56.08,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,5,48.65,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,6,37.16,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,7,35.81,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,1,91.22,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,2,88.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,3,90.54,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,4,88.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,5,86.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,6,86.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,7,81.76,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,1,87.16,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,2,74.32,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,3,64.19,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,4,58.78,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,5,55.41,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,6,43.92,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,7,56.08,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,1,95.27,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,2,96.62,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,3,96.62,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,4,97.3,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,5,95.27,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,6,95.27,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,7,97.3,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,1,72.3,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,2,75.0,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,3,70.95,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,4,71.62,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,5,72.3,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,6,75.0,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,7,81.76,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,1,77.7,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,2,92.57,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,3,89.19,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,4,91.89,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,5,93.92,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,6,95.27,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,7,96.62,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,1,58.78,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,2,50.0,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,3,40.54,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,4,44.59,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,5,45.27,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,6,38.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,7,47.97,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,1,72.97,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,2,80.41,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,3,81.08,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,4,83.11,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,5,87.84,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,6,85.14,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,7,87.16,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,1,86.49,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,2,89.86,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,3,87.84,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,4,88.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,5,87.84,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,6,88.51,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,7,82.43,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,implicit,1,91.89,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,implicit,2,87.84,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,implicit,3,89.86,preview_valid148
